,id,title,date,author,technique,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5
0,153911,Ohne Titel (Zuschauer vor einer Schaubude),Sommer 1897,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7x26,2 cm","Blattmaß:  23,9x29,9 cm",Passepartoutmaß:  70 x 50 cm,,
1,156704,Ohne Titel (Blick aus Zilles Wohnung),Sommer 1893,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  19,7x26,2 cm","Fotopapiermaß:  23,8 x 29,9 cm",Passepartoutmaß:  70 x 50 cm,,
2,156721,Ohne Titel (Das Haus Nr. 88 in der Sophie-Charlotte-Straße; im 4. Stock Zilles Wohnung),Herbst 1897,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26,5x20,6 cm","Fotopapiermaß:  29,9 x 23,8 cm",,,
3,156722,"Ohne Titel (Fritz Klimsch in seinem Atelier, rechts Heinrich Zille)",1899,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,6 x 26,6 cm","Fotopapiermaß:  23,9 x 29,9 cm",,,
4,156723,"Ohne Titel (In der Wohnung, Blick vom Wohn- zum Schlafzimmer auf die Balkontür)",Herbst 1899,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20 x 25,9 cm","Fotopapiermaß:  23,2 x 29,5 cm",Passepartoutmaß:  70 x 50 cm,,
5,159289,"Ohne Titel (Aufbau des Standes ""Rosen aus dem Süden"")",Juli/August 1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,1 x 26,8 cm","Fotopapiermaß:  23,4 x 29,7 cm",Passepartoutmaß:  70 x 50 cm,,
6,161095,Ohne Titel (Frau mit ihrem Kind im Arm vor einer Latrine),August 1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7x26,2 cm",Fotopapiermaß:  24 x 30 cm,Passepartoutmaß:  70 x 50 cm,,
7,16699,"Ohne Titel (Kiesgrube am Westend, heute Theodor-Heuss-Platz)",Herbst 1899,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7 x 26,2 cm","Fotopapiermaß:  23,8 x 29,9 cm",Passepartoutmaß:  70 x 50 cm,,
8,16700,Ohne Titel (Sandweg zur Müllkippe am Westend in Charlottenburg),Sommer 1898,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7 x 26,2 cm","Fotopapiermaß:  23,8 x 29,9 cm",Passepartoutmaß:  70 x 50 cm,,
9,16703,Ohne Titel (Landschaft mit Kieferngruppe),Frühling 1897,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,3 x 26,3 cm","Fotopapiermaß:  23,3 x 29,4 cm",,,
10,168433,"Ohne Titel (Rastende Frauen neben reisigbeladenem Kinderwagen, Blick auf die Königin-Elisabeth-Kaserne)",Herbst 1897,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7x26,1 cm","Fotopapiermaß:  24 x 29,9 cm",Passepartoutmaß:  60 x 50 cm,,
11,168480,Ohne Titel (Frau mit reisigbeladenem Kinderwagen),Herbst 1897,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7x26,2 cm","Fotopapiermaß:  23,8 x 29,9 cm",,,
12,169578,Ohne Titel (Handstand machende Jungen),Sommer 1898,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,7x26,2 cm","Fotopapiermaß:  23,8 x 29,9 cm",Passepartoutmaß:  60 x 50 cm,"Rahmenmaß:  62,5 x 52,5 x 3 cm",
13,170887,"Ohne Titel (Erster Hof im Krögel mit posierenden Kindern, Blick vom zweiten Hof)",um 1896,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26,7 x 20 cm","Fotopapiermaß:  29,5 x 23,3 cm",Passepartoutmaß:  60 x 50 cm,,
14,170888,Ohne Titel (Dachkammer mit Gaubenfenster; Frau im Bett liegend),Winter 1899/1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  20,8 x 26,1 cm","Fotopapiermaß:  23,9 x 29,8 cm",Passepartoutmaß:  70 x 50 cm,,
15,170889,"Ohne Titel (Aktstudie, Pose, kniend, frontal)",Winter 1899/1900,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  25,8 x 18,9 cm","Fotopapiermaß:  29,1 x 23,2 cm",,,
16,17090,"Ohne Titel (Blick aus Zilles Wohnung in der Sophie-Charlotte-Straße 88, Richtung Südwesten auf das Ringbahngelände und die Knobelsdorffbrücke)",Sommer 1893,"Zille, Heinrich (1858-1929)","Albuminpapier, ungetont","Bildmaß:  8,2 x 14,3 cm","Fotopapiermaß:  8,2 x 14,3 cm",Passepartoutmaß:  50 x 40 cm,,
17,170964,Ohne Titel (Müllarbeiter mit Wagen),Sommer 1898,"Zille, Heinrich (1858-1929)",Silbergelatinepapier,"Bildmaß:  26,2 x 20,7 cm","Fotopapiermaß:  23,8 x 29,9 cm",Passepartoutmaß:  70 x 50 cm,,
